Country Code,GDP (current US$) ,Total Percentage of Renewable Energy Consumption,GDP Rank,Total Percentage of Renewable Energy Consumption
186,36811936.08,0.89057949,1,0.89057949
138,84863440.58,0,2,0
119,183222930.9,0.615269847,3,0.615269847
98,191572320.4,0.027077028,4,0.027077028
167,259999643,0.134091682,5,0.134091682
144,287215972.9,0.119114882,6,0.119114882
62,316489900,0.087116856,7,0.087116856
50,540737037,0.331702772,8,0.331702772
9,673000000,0.008854782,9,0.008854782
196,730870803,0.20450909,10,0.20450909
193,786555555.6,0.038775252,11,0.038775252
197,824150498.7,0.022764167,12,0.022764167
126,910000000,0.321595725,13,0.321595725
176,942070000,0.712646671,14,0.712646671
99,957222222.2,0,15,0
40,966029600.9,0.265797159,16,0.265797159
72,997007407.4,0.636509918,17,0.636509918
69,1152384167,0.171700475,18,0.171700475
160,1307909888,0.2440077,19,0.2440077
68,1378176609,0.078227998,20,0.078227998
173,1417888715,0.005211552,21,0.005211552
163,1419400404,0.211738853,22,0.211738853
174,1432403352,0.00572166,23,0.00572166
10,1437755556,0,24,0
182,1595205100,0.002842058,25,0.002842058
32,1695825714,0.7656702,26,0.7656702
41,1749857620,0.387334139,27,0.387334139
106,1807640741,0.52875892,28,0.52875892
30,2154921011,0.869045483,29,0.869045483
24,2194709309,0.330700494,30,0.330700494
109,2359686725,0.335076701,31,0.335076701
49,2424391785,0.339452907,32,0.339452907
73,2499113023,0.343829114,33,0.343829114
61,2573905971,0.348205321,34,0.348205321
5,2789881259,0.352581528,35,0.352581528
1,2962907263,0.356957735,36,0.356957735
44,3058779218,0.361333942,37,0.361333942
14,3104003546,0.365710148,38,0.365710148
104,3227075700,0.370086355,39,0.370086355
194,3663000000,0.374462562,40,0.374462562
124,4054730078,0.378838769,41,0.378838769
172,4063245671,0.383214976,42,0.383214976
117,4129505319,0.387591182,43,0.387591182
76,4279840194,0.391967389,44,0.391967389
59,4682479894,0.396343596,45,0.396343596
45,4708167255,0.400719803,46,0.400719803
28,4738650450,0.40509601,47,0.40509601
168,5126237646,0.409472217,48,0.409472217
151,5325846362,0.413848423,49,0.413848423
178,5755461035,0.41822463,50,0.41822463
75,5799000000,0.422600837,51,0.422600837
128,6166863897,0.426977044,52,0.426977044
107,6268515276,0.431353251,53,0.431353251
198,6295848423,0.435729457,54,0.435729457
25,6654541000,0.440105664,55,0.440105664
96,6678177512,0.444481871,56,0.444481871
164,6984947145,0.448858078,57,0.448858078
83,7084800892,0.453234285,58,0.453234285
115,7797667197,0.457610491,59,0.457610491
180,8271431485,0.461986698,60,0.461986698
155,8543759089,0.466362905,61,0.466362905
133,8738203074,0.470739112,62,0.470739112
67,8794202394,0.475115319,63,0.475115319
130,9219474379,0.479491526,64,0.479491526
134,9683867926,0.483867732,65,0.483867732
120,10064519963,0.488243939,66,0.488243939
8,10553337518,0.492620146,67,0.492620146
177,10950392257,0.496996353,68,0.496996353
122,11091483660,0.50137256,69,0.50137256
116,11323020701,0.505748766,70,0.505748766
132,11335161084,0.510124973,71,0.510124973
4,11386853113,0.51450118,72,0.51450118
16,11388160997,0.518877387,73,0.518877387
125,11619892591,0.523253594,74,0.523253594
21,11671900000,0.5276298,75,0.5276298
17,11832159316,0.532006007,76,0.532006007
166,11997800760,0.536382214,77,0.536382214
129,12007291046,0.540758421,78,0.540758421
38,12434793868,0.545134628,79,0.545134628
136,12756706583,0.549510835,80,0.549510835
29,12930291488,0.553887041,81,0.553887041
121,13104764378,0.558263248,82,0.558263248
70,13185496881,0.562639455,83,0.562639455
31,13530748845,0.567015662,84,0.567015662
150,13972400000,0.571391869,85,0.571391869
91,14188936918,0.575768075,86,0.575768075
63,14383107763,0.580144282,87,0.580144282
102,14426380126,0.584520489,88,0.584520489
80,14849629309,0.588896696,89,0.588896696
65,15223796149,0.593272903,90,0.593272903
127,16208985770,0.597649109,91,0.597649109
22,16404348871,0.602025316,92,0.602025316
175,16466863097,0.606401523,93,0.606401523
88,17517210519,0.61077773,94,0.61077773
158,17774766696,0.615153937,95,0.615153937
97,18049954289,0.619530144,96,0.619530144
2,19134221645,0.62390635,97,0.62390635
46,19909269064,0.628282557,98,0.628282557
78,20979791685,0.632658764,99,0.632658764
145,21723437010,0.637034971,100,0.637034971
56,22890762090,0.641411178,101,0.641411178
162,23438240000,0.645787384,102,0.645787384
183,27026080987,0.650163591,103,0.650163591
112,27263090547,0.654539798,104,0.654539798
20,31125851064,0.658916005,105,0.658916005
37,32210233021,0.663292212,106,0.663292212
188,32387183730,0.667668419,107,0.667668419
26,33000198249,0.672044625,108,0.672044625
181,35799714286,0.676420832,109,0.676420832
149,36211447840,0.680797039,110,0.680797039
92,38587017887,0.685173246,111,0.685173246
165,39655949731,0.689549453,112,0.689549453
110,41435533340,0.693925659,113,0.693925659
199,42444490074,0.698301866,114,0.698301866
170,43107506024,0.702678073,115,0.702678073
113,45048190598,0.70705428,116,0.70705428
184,45779494042,0.711430487,117,0.711430487
187,47413919817,0.715806693,118,0.715806693
105,48717501321,0.7201829,119,0.7201829
66,49406010054,0.724559107,120,0.724559107
103,49929337837,0.728935314,121,0.728935314
19,50811995689,0.733311521,122,0.733311521
79,51011170112,0.737687728,123,0.737687728
157,51726758677,0.742063934,124,0.742063934
13,53076235355,0.746440141,125,0.746440141
141,54091800000,0.750816348,126,0.750816348
42,56441920821,0.755192555,127,0.755192555
23,56454889147,0.759568762,128,0.759568762
190,57680327999,0.763944968,129,0.763944968
123,59607290408,0.768321175,130,0.768321175
111,60071584216,0.772697382,131,0.772697382
74,62186064719,0.777073589,132,0.777073589
57,64589328551,0.781449796,133,0.781449796
95,70120446897,0.785826002,134,0.785826002
52,71164826837,0.790202209,135,0.790202209
139,78710793238,0.794578416,136,0.794578416
108,85140955389,0.798954623,137,0.798954623
192,86196264755,0.80333083,138,0.80333083
43,87132800000,0.807707037,139,0.807707037
169,88900883131,0.812083243,140,0.812083243
3,90496420507,0.81645945,141,0.81645945
189,91030967789,0.820835657,142,0.820835657
54,97209558000,0.825211864,143,0.825211864
147,1.03376E+11,0.829588071,144,0.829588071
114,1.10414E+11,0.833964277,145,0.833964277
101,1.14586E+11,0.838340484,146,0.838340484
81,1.25174E+11,0.842716691,147,0.842716691
152,1.6174E+11,0.847092898,148,0.847092898
87,1.66774E+11,0.851469105,149,0.851469105
153,1.77884E+11,0.855845311,150,0.855845311
94,1.84388E+11,0.860221518,151,0.860221518
53,1.87494E+11,0.864597725,152,0.864597725
47,1.88033E+11,0.868973932,153,0.868973932
142,1.89803E+11,0.873350139,154,0.873350139
18,1.95147E+11,0.877726346,155,0.877726346
71,1.95684E+11,0.882102552,156,0.882102552
148,1.99394E+11,0.886478759,157,0.886478759
58,2.34534E+11,0.890854966,158,0.890854966
195,2.39258E+11,0.895231173,159,0.895231173
35,2.4245E+11,0.89960738,160,0.89960738
85,2.92364E+11,0.903983586,161,0.903983586
39,2.93492E+11,0.908359793,162,0.908359793
140,2.99964E+11,0.912736,163,0.912736
131,3.01355E+11,0.917112207,164,0.917112207
51,3.02673E+11,0.921488414,165,0.921488414
89,3.03414E+11,0.925864621,166,0.925864621
143,3.06446E+11,0.930240827,167,0.930240827
159,3.07999E+11,0.934617034,168,0.934617034
77,3.09386E+11,0.938993241,169,0.938993241
55,3.29367E+11,0.943369448,170,0.943369448
6,3.70275E+11,0.947745655,171,0.947745655
12,3.81971E+11,0.952121861,172,0.952121861
179,4.01296E+11,0.956498068,173,0.956498068
86,4.08213E+11,0.960874275,174,0.960874275
15,4.62336E+11,0.965250482,175,0.965250482
146,4.77111E+11,0.969626689,176,0.969626689
135,4.93027E+11,0.974002895,177,0.974002895
171,5.05104E+11,0.978379102,178,0.978379102
7,5.94749E+11,0.982755309,179,0.982755309
156,6.69484E+11,0.987131516,180,0.987131516
34,6.94118E+11,0.991507723,181,0.991507723
137,7.65573E+11,0.99588393,182,0.99588393
82,8.60854E+11,1.000260136,183,1.000260136
185,8.64314E+11,1.004636343,184,1.004636343
118,1.21329E+12,1.00901255,185,1.00901255
11,1.35177E+12,1.013388757,186,1.013388757
154,1.36348E+12,1.017764964,187,1.017764964
100,1.46604E+12,1.02214117,188,1.02214117
33,1.55651E+12,1.026517377,189,1.026517377
27,1.80221E+12,1.030893584,190,1.030893584
90,1.83664E+12,1.035269791,191,1.035269791
84,2.10359E+12,1.039645998,192,1.039645998
60,2.43919E+12,1.044022204,193,1.044022204
64,2.92791E+12,1.048398411,194,1.048398411
48,3.35759E+12,1.052774618,195,1.052774618
93,4.44493E+12,1.057150825,196,1.057150825
36,1.10616E+13,1.061527032,197,1.061527032
191,1.8295E+13,1.065903239,198,1.065903239
