Time,Time Code,Country Name,Country Code,Total final energy consumption (TFEC) ,Renewable energy consumption,Total Renewable Energy Percentage
2015,YR2015,Afghanistan,AFG,136426.6353,25134.53,18%
2015,YR2015,Albania,ALB,81717.66932,31555.45,39%
2015,YR2015,Algeria,DZA,1413989.835,833.6698,0%
2015,YR2015,American Samoa,ASM,561.06,4.968064,1%
2015,YR2015,Andorra,AND,8317.479833,1642.52,20%
2015,YR2015,Angola,AGO,491789.1898,243771.1,50%
2015,YR2015,Anguilla,AIA,1618.957,1.827,0%
2015,YR2015,Antigua and Barbuda,ATG,4701.1,0,0%
2015,YR2015,Argentina,ARG,2385146.9,239470.6,10%
2015,YR2015,Armenia,ARM,85141.75997,13445.59,16%
2015,YR2015,Aruba,ABW,6507.92966,437.772,7%
2015,YR2015,Australia,AUS,3233353.35,296838.1,9%
2015,YR2015,Austria,AUT,1053513.263,362355.8,34%
2015,YR2015,Azerbaijan,AZE,332414.0842,7681.284,2%
2015,YR2015,"Bahamas, The",BHS,25636.48881,310.333,1%
2015,YR2015,Bahrain,BHR,191733.4593,0,0%
2015,YR2015,Bangladesh,BGD,1111053.712,386058.6,35%
2015,YR2015,Barbados,BRB,11307.92873,315.0794,3%
2015,YR2015,Belarus,BLR,657957.2947,44549.43,7%
2015,YR2015,Belgium,BEL,1394807.802,128345.2,9%
2015,YR2015,Belize,BLZ,12219.94993,4279.87,35%
2015,YR2015,Benin,BEN,150352.426,76473.18,51%
2015,YR2015,Bermuda,BMU,5228.374598,123.3681,2%
2015,YR2015,Bhutan,BTN,62845.24925,54615.38,87%
2015,YR2015,Bolivia,BOL,278473.279,48839.15,18%
2015,YR2015,Bosnia and Herzegovina,BIH,180007.4885,73353.16,41%
2015,YR2015,Botswana,BWA,80179.77395,23155.78,29%
2015,YR2015,Brazil,BRA,8876778.835,3887176,44%
2015,YR2015,British Virgin Islands,VGB,1511.995825,18.58448,1%
2015,YR2015,Brunei Darussalam,BRN,38929.99684,5.814209,0%
2015,YR2015,Bulgaria,BGR,391131.1909,69034.96,18%
2015,YR2015,Burkina Faso,BFA,146862.6533,108923.9,74%
2015,YR2015,Burundi,BDI,51690.01469,49456.45,96%
2015,YR2015,Cambodia,KHM,246145.5726,159807,65%
2015,YR2015,Cameroon,CMR,284268.9406,217574.9,77%
2015,YR2015,Canada,CAN,7205757.622,1587094,22%
2015,YR2015,Cape Verde,CPV,6499.4788,1727.543,27%
2015,YR2015,Cayman Islands,CYM,4692.328375,0,0%
2015,YR2015,Central African Republic,CAF,17654.481,13517.51,77%
2015,YR2015,Chad,TCD,66381.56766,59316.84,89%
2015,YR2015,Channel Islands,CHI,0,0,#DIV/0!
2015,YR2015,Chile,CHL,1043328.579,259606.8,25%
2015,YR2015,China,CHN,73183146.53,9084482,12%
2015,YR2015,Colombia,COL,1068688.697,251833.9,24%
2015,YR2015,Comoros,COM,3546.64845,1607.804,45%
2015,YR2015,"Congo, Dem. Rep.",COD,900161.2464,862513.8,96%
2015,YR2015,"Congo, Rep.",COG,85165.45726,53145.05,62%
2015,YR2015,Cook Islands,COK,693.62,0,0%
2015,YR2015,Costa Rica,CRI,151721.8446,58767.05,39%
2015,YR2015,Cote d'Ivoire,CIV,282467.6536,182270.8,65%
2015,YR2015,Croatia,HRV,270439.6053,89589.79,33%
2015,YR2015,Cuba,CUB,299420.258,57732.18,19%
2015,YR2015,Curacao,CUW,24714.21985,85.94772,0%
2015,YR2015,Cyprus,CYP,58918.65926,5857.732,10%
2015,YR2015,Czech Republic,CZE,962826.338,142773.3,15%
2015,YR2015,Denmark,DNK,546907.7001,181410.8,33%
2015,YR2015,Djibouti,DJI,4947.13949,760.8995,15%
2015,YR2015,Dominica,DMA,1495.08353,117.062,8%
2015,YR2015,Dominican Republic,DOM,226654.9301,37352.98,16%
2015,YR2015,Ecuador,ECU,494684.1108,68348.95,14%
2015,YR2015,"Egypt, Arab Rep.",EGY,2086104.92,119103.6,6%
2015,YR2015,El Salvador,SLV,103161.6216,25172.23,24%
2015,YR2015,Equatorial Guinea,GNQ,67460.502,5277.3,8%
2015,YR2015,Eritrea,ERI,23499.50357,18744.96,80%
2015,YR2015,Estonia,EST,114898.9386,31570.59,27%
2015,YR2015,Ethiopia,ETH,1708132.464,1574274,92%
2015,YR2015,Faeroe Islands,FRO,8295.0053,623.2519,8%
2015,YR2015,Falkland Islands,FLK,675.98697,26.28797,4%
