Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD]
2015,YR2015,Afghanistan,AFG,19134221644.7325
2015,YR2015,Albania,ALB,11386853113.0189
2015,YR2015,Algeria,DZA,187493855609.345
2015,YR2015,American Samoa,ASM,673000000
2015,YR2015,Andorra,AND,2789881258.50362
2015,YR2015,Angola,AGO,90496420506.5957
2015,YR2015,Antigua and Barbuda,ATG,1437755555.55556
2015,YR2015,Argentina,ARG,594749285413.212
2015,YR2015,Armenia,ARM,10553337518.414
2015,YR2015,Aruba,ABW,2962907262.56983
2015,YR2015,Australia,AUS,1351768945139.11
2015,YR2015,Austria,AUT,381971148530.543
2015,YR2015,Azerbaijan,AZE,53076235354.746
2015,YR2015,"Bahamas, The",BHS,11671900000
2015,YR2015,Bahrain,BHR,31125851063.8298
2015,YR2015,Bangladesh,BGD,195146607942.291
2015,YR2015,Barbados,BRB,4738650450
2015,YR2015,Belarus,BLR,56454889146.6088
2015,YR2015,Belgium,BEL,462335574841.484
2015,YR2015,Belize,BLZ,2194709309.24204
2015,YR2015,Benin,BEN,11388160996.7738
2015,YR2015,Bermuda,BMU,6654541000
2015,YR2015,Bhutan,BTN,2154921010.65558
2015,YR2015,Bolivia,BOL,33000198248.9146
2015,YR2015,Bosnia and Herzegovina,BIH,16404348871.4437
2015,YR2015,Botswana,BWA,13530748844.505
2015,YR2015,Brazil,BRA,1802212206904.68
2015,YR2015,British Virgin Islands,VGB,..
2015,YR2015,Brunei Darussalam,BRN,12930291487.9581
2015,YR2015,Bulgaria,BGR,50811995688.6771
2015,YR2015,Burkina Faso,BFA,11832159315.6298
2015,YR2015,Burundi,BDI,3104003546.26497
2015,YR2015,Cabo Verde,CPV,1749857620.35329
2015,YR2015,Cambodia,KHM,18049954289.4721
2015,YR2015,Cameroon,CMR,32210233021.4049
2015,YR2015,Canada,CAN,1556508816217.14
2015,YR2015,Cayman Islands,CYM,4708167255.28727
2015,YR2015,Central African Republic,CAF,1695825714.19282
2015,YR2015,Chad,TCD,10950392256.9543
2015,YR2015,Channel Islands,CHI,..
2015,YR2015,Chile,CHL,242450355827.827
2015,YR2015,China,CHN,11061572618578.7
2015,YR2015,Colombia,COL,293492370193.166
2015,YR2015,Comoros,COM,966029600.862227
2015,YR2015,"Congo, Dem. Rep.",COD,37917706497.1793
2015,YR2015,"Congo, Rep.",COG,12434793867.7228
2015,YR2015,Costa Rica,CRI,56441920821.0806
2015,YR2015,Cote d'Ivoire,CIV,45815005169.2651
2015,YR2015,Croatia,HRV,51011170111.8487
2015,YR2015,Cuba,CUB,87132800000
2015,YR2015,Curacao,CUW,3058779217.87709
2015,YR2015,Cyprus,CYP,19909269064.1204
2015,YR2015,Czechia,CZE,188033050459.881
2015,YR2015,Denmark,DNK,302673070846.857
