Number Country Code,GDP (current US$) [NY.GDP.MKTP.CD],Total Renewable Energy Percentage,GDP Rank
189,36811936.0824587,0%,1
116,183222930.908203,11%,2
95,191572320.429122,4%,3
155,259999643.047388,41%,4
140,287215972.900391,0%,5
120,316489900.0,1%,6
184,437003078.563584,2%,7
52,540737037.037037,8%,8
4,673000000.0,1%,9
197,730870802.967051,36%,10
173,786555555.555555,6%,11
153,824150498.653536,34%,12
136,910000000.0,0%,13
188,942070000.0,1%,14
171,957222222.222222,2%,15
41,966029600.862227,45%,16
71,997007407.407407,11%,17
75,1152384166.79638,87%,18
165,1307909887.55212,63%,19
65,1378176608.93204,52%,20
162,1417888715.0838,0%,21
154,1419400403.82788,#DIV/0!,22
159,1432403352.12944,1%,23
7,1437755555.55556,0%,24
182,1595205100.0,18%,25
36,1695825714.19282,77%,26
172,1807640740.74074,2%,27
23,2154921010.65558,87%,28
20,2194709309.24204,35%,29
103,2359686724.53829,52%,30
51,2424391785.43897,15%,31
70,2499113022.81675,16%,32
5,2789881258.50362,20%,33
10,2962907262.56983,7%,34
48,3058779217.87709,0%,35
31,3104003546.26497,96%,36
104,3227075700.0,84%,37
198,3663000000.0,4%,38
124,4054730077.57718,43%,39
113,4129505319.12921,1%,40
160,4252029353.82191,78%,41
76,4279840193.7046,25%,42
60,4682479893.97558,31%,43
35,4708167255.28727,0%,44
17,4738650450.0,3%,45
175,5126237646.22072,25%,46
63,5325846361.81186,10%,47
183,5755461035.44333,71%,48
72,5799000000.0,0%,49
117,6166863896.68677,32%,50
122,6261649890.82388,#DIV/0!,51
106,6268515276.17441,63%,52
97,6295848422.71573,20%,53
22,6654541000.0,2%,54
99,6678177511.66313,23%,55
166,6984947145.09508,94%,56
87,7084800892.22284,4%,57
121,7797667196.73087,14%,58
179,8271431485.07484,45%,59
152,8543759088.57783,87%,60
131,8738203074.3957,5%,61
74,8794202394.29076,76%,62
111,9219474379.31534,84%,63
134,9683867926.44282,79%,64
9,10553337518.414,16%,65
37,10950392256.9543,89%,66
115,11091483659.6156,5%,67
110,11323020701.3017,70%,68
128,11335161083.5061,26%,69
2,11386853113.0189,39%,70
21,11388160996.7738,51%,71
123,11619892590.6941,3%,72
14,11671900000.0,1%,73
30,11832159315.6298,74%,74
168,11997800760.2242,39%,75
118,12007291045.6489,12%,76
43,12434793867.7228,62%,77
133,12756706583.3113,48%,78
28,12930291487.9581,0%,79
114,13104764378.326,62%,80
57,13185496881.0174,8%,81
26,13530748844.505,29%,82
199,13972400000.0,10%,83
90,14188936918.0036,17%,84
64,14383107762.6952,82%,85
100,14426380125.6488,59%,86
77,14849629308.6025,76%,87
66,15223796148.8396,29%,88
126,16208985769.615,86%,89
25,16404348871.4437,41%,90
178,16466863097.2125,1%,91
81,17517210519.0912,77%,92
157,17774766696.1759,43%,93
32,18049954289.4721,65%,94
1,19134221644.7325,18%,95
49,19909269064.1204,10%,96
202,19963120600.0,82%,97
78,20979791685.416,52%,98
201,21251216798.7762,88%,99
142,21723437010.0982,52%,100
58,22890762090.1508,27%,101
56,23438240000.0,24%,102
129,24360801286.7638,85%,103
185,27026080986.578,0%,104
101,27263090547.0617,38%,105
15,31125851063.8298,0%,106
33,32210233021.4049,77%,107
190,32387183730.1002,89%,108
24,33000198248.9146,18%,109
187,35799714285.7143,0%,110
143,36211447840.0971,62%,111
42,37917706497.1793,96%,112
92,38587017887.3239,3%,113
158,39655949731.3816,21%,114
107,41435533340.3883,29%,115
200,42444490073.8555,2%,116
164,43107506024.3254,21%,117
109,45048190598.3249,7%,118
186,45779494041.9295,13%,119
45,45815005169.2651,65%,120
180,47413919817.124,86%,121
105,48717501321.3052,2%,122
68,49406010054.2663,41%,123
102,49929337836.8159,4%,124
29,50811995688.6771,18%,125
46,51011170111.8487,33%,126
174,51726758676.7677,62%,127
13,53076235354.746,2%,128
141,54091800000.0,21%,129
44,56441920821.0806,39%,130
18,56454889146.6088,7%,131
195,57680327998.6689,58%,132
127,59607290407.6191,62%,133
108,60071584216.1375,9%,134
73,62186064718.7424,64%,135
59,64589328550.5953,92%,136
94,70120446896.8359,73%,137
53,71164826836.5281,16%,138
138,78710793237.9714,0%,139
170,85140955388.8509,53%,140
196,86196264755.3105,3%,141
47,87132800000.0,19%,142
163,88900883130.8374,13%,143
6,90496420506.5957,50%,144
191,91030967789.0717,4%,145
54,97209558000.0,14%,146
148,103375500000.0,2%,147
125,110413823841.592,11%,148
98,114585555830.916,0%,149
80,125174166987.372,16%,150
